"AccessionVersion","Title_reduced"
"CP051266.2","D. citri"
"CP015510.2","F. candida Berlin"
"CP037426.1","wIrr"
"CP031221.1","wAlbB"
"CP092526.1","O. surinamensis"
"CP084693.1","wAnM"
"CP048820.1","D. citri"
"CP048819.1","D. citri"
"CP048818.1","D. citri"
"CP110359.1","D. pseudotakahashii"
"CP092368.1","Howardula sp. HA_SPA"
"CP080546.1","wAlbB-Q"
"CP042446.1","wMel_N25"
"CP042445.1","wMel_ZH26"
"CP042444.1","wMel_I23"
"CP041924.1","wAlbB-HN2016"
"CP041923.1","wAlbB-FL2016"
"CP101657.1","wAlbA-JF2017"
"OW370537.1","wOegibbosus"
"OW370567.2","wOegibbosus"
"CP096925.1","wFur O. furnacalis"
"CP096926.1","wSca O. scapulalis"
"CP069055.1","wAu D. simulans KB177"
"CP069052.1","wTei D. simulans KB156"
"CP069054.1","wMa D. simulans KB154"
"CP069060.1","wSan D. santomea KB161"
"CP069053.1","wYak D. yakuba KB166"
"CP067976.1","S. picta"
"CP072671.1","A. aegypti GV_2018_2"
"CP072666.1","A. aegypti GV_2018_7"
"CP072667.1","A. aegypti GV_2018_6"
"CP072670.1","A. aegypti GV_2018_3"
"CP072672.1","A. aegypti GV_2018_1"
"CP072668.1","A. aegypti GV_2018_5"
"CP054557.1","wWpum W. pumilae"
"CP051265.2","D. citri, KPSwDI10P38"
"CP046577.1","wLsig"
"CP046579.1","C. tuberocauda"
"CP051156.1","WCfeT 1"
"CP051157.1","WCfeJ 2"
"CP050521.1","B. pahangi FR3"
"CP021120.1","wMeg C. megacephala"
"CP042904.1","D. ananassae W2.1"
"CP041215.1","wCauA C. sasakii"
"HG810405.1","O. volvulus str. Cameroon"
"CP091195.1","D. radicum iso-1"
"CP090948.1","wMel_GV_13 A. aegypti"
"CP084694.1","wAnD A. demeilloni"
"CP076228.1","D. innubila 11"
"CP087954.1","C. cephalonica SYLI2103"
"CP072669.1","A. aegypti GV_2018_4"
"CP051264.2","D. citri KPSwDI15P40"
"CP046924.1","wMelCS_b D. melanogaster"
"CP046923.1","wMelOctoless D. melanogaster"
"CP046925.1","wMel D. melanogaster"
"CP046921.1","wMelpop D. melanogaster"
"CP046922.1","wMelPop2 D. melanogaster"
"CP051608.1","D. citri dawsonii"
"CP046578.1","D. immitis FR3"
"CP046580.1","D. caudispina"
"CP034334.1","wMau D. mauritiana"
"CP034335.1","wMau D. mauritiana"
"CP034333.1","B. malayi TRS"
"AP013028.1","wCle C. lectularius"
"HE660029.1","O. ochengi"
"AM999887.1","Cx. quinquefasciatus Pel"
"CP072012.1","wCin2USA1"
"NC_010981.1","Cx. quinquefasciatus Pel"
"OW370567.1","wOegibbosus"
"NC_018267.1","O. ochengi"
