"read_counts","cepa","library"
120,"NC_010981.1","SRR12893564"
72,"NC_018267.1","SRR12893564"
83,"NZ_AP013028.1","SRR12893564"
103,"NZ_CP015510.2","SRR12893564"
116,"NZ_CP021120.1","SRR12893564"
638,"NZ_CP031221.1","SRR12893564"
88,"NZ_CP034333.1","SRR12893564"
97,"NZ_CP034334.1","SRR12893564"
97,"NZ_CP034335.1","SRR12893564"
106,"NZ_CP037426.1","SRR12893564"
113,"NZ_CP041215.1","SRR12893564"
802,"NZ_CP041923.1","SRR12893564"
788,"NZ_CP041924.1","SRR12893564"
121,"NZ_CP042444.1","SRR12893564"
121,"NZ_CP042445.1","SRR12893564"
121,"NZ_CP042446.1","SRR12893564"
108,"NZ_CP042904.1","SRR12893564"
77,"NZ_CP046577.1","SRR12893564"
68,"NZ_CP046578.1","SRR12893564"
65,"NZ_CP046579.1","SRR12893564"
256,"NZ_CP046580.1","SRR12893564"
121,"NZ_CP046921.1","SRR12893564"
121,"NZ_CP046922.1","SRR12893564"
121,"NZ_CP046923.1","SRR12893564"
121,"NZ_CP046924.1","SRR12893564"
121,"NZ_CP046925.1","SRR12893564"
181,"NZ_CP048818.1","SRR12893564"
182,"NZ_CP048819.1","SRR12893564"
180,"NZ_CP048820.1","SRR12893564"
89,"NZ_CP050521.1","SRR12893564"
110,"NZ_CP051156.1","SRR12893564"
95,"NZ_CP051157.1","SRR12893564"
191,"NZ_CP051264.2","SRR12893564"
191,"NZ_CP051265.2","SRR12893564"
176,"NZ_CP051266.2","SRR12893564"
191,"NZ_CP051608.1","SRR12893564"
125,"NZ_CP054557.1","SRR12893564"
114,"NZ_CP067976.1","SRR12893564"
121,"NZ_CP069052.1","SRR12893564"
122,"NZ_CP069053.1","SRR12893564"
97,"NZ_CP069054.1","SRR12893564"
121,"NZ_CP069055.1","SRR12893564"
122,"NZ_CP069060.1","SRR12893564"
125,"NZ_CP072012.1","SRR12893564"
121,"NZ_CP072666.1","SRR12893564"
121,"NZ_CP072667.1","SRR12893564"
121,"NZ_CP072668.1","SRR12893564"
121,"NZ_CP072669.1","SRR12893564"
121,"NZ_CP072670.1","SRR12893564"
121,"NZ_CP072671.1","SRR12893564"
121,"NZ_CP072672.1","SRR12893564"
144,"NZ_CP076228.1","SRR12893564"
638,"NZ_CP080546.1","SRR12893564"
92,"NZ_CP084693.1","SRR12893564"
106,"NZ_CP084694.1","SRR12893564"
112,"NZ_CP087954.1","SRR12893564"
121,"NZ_CP090948.1","SRR12893564"
110,"NZ_CP091195.1","SRR12893564"
140,"NZ_CP092368.1","SRR12893564"
123,"NZ_CP092526.1","SRR12893564"
112,"NZ_CP096925.1","SRR12893564"
112,"NZ_CP096926.1","SRR12893564"
94,"NZ_CP101657.1","SRR12893564"
556,"NZ_CP110359.1","SRR12893564"
72,"NZ_HG810405.1","SRR12893564"
193,"NZ_OW370537.1","SRR12893564"
140,"NZ_OW370567.1","SRR12893564"
114183,"NC_010981.1","SRR12893565"
8450,"NC_018267.1","SRR12893565"
42638,"NZ_AP013028.1","SRR12893565"
41583,"NZ_CP015510.2","SRR12893565"
119643,"NZ_CP021120.1","SRR12893565"
2791005,"NZ_CP031221.1","SRR12893565"
22951,"NZ_CP034333.1","SRR12893565"
101196,"NZ_CP034334.1","SRR12893565"
101196,"NZ_CP034335.1","SRR12893565"
51851,"NZ_CP037426.1","SRR12893565"
58085,"NZ_CP041215.1","SRR12893565"
2782957,"NZ_CP041923.1","SRR12893565"
2793112,"NZ_CP041924.1","SRR12893565"
46968,"NZ_CP042444.1","SRR12893565"
46964,"NZ_CP042445.1","SRR12893565"
46968,"NZ_CP042446.1","SRR12893565"
61698,"NZ_CP042904.1","SRR12893565"
30663,"NZ_CP046577.1","SRR12893565"
15088,"NZ_CP046578.1","SRR12893565"
9000,"NZ_CP046579.1","SRR12893565"
9507,"NZ_CP046580.1","SRR12893565"
47073,"NZ_CP046921.1","SRR12893565"
47073,"NZ_CP046922.1","SRR12893565"
46913,"NZ_CP046923.1","SRR12893565"
46953,"NZ_CP046924.1","SRR12893565"
46966,"NZ_CP046925.1","SRR12893565"
425122,"NZ_CP048818.1","SRR12893565"
425084,"NZ_CP048819.1","SRR12893565"
423031,"NZ_CP048820.1","SRR12893565"
22958,"NZ_CP050521.1","SRR12893565"
45204,"NZ_CP051156.1","SRR12893565"
54741,"NZ_CP051157.1","SRR12893565"
455599,"NZ_CP051264.2","SRR12893565"
455468,"NZ_CP051265.2","SRR12893565"
409427,"NZ_CP051266.2","SRR12893565"
455721,"NZ_CP051608.1","SRR12893565"
51414,"NZ_CP054557.1","SRR12893565"
100538,"NZ_CP067976.1","SRR12893565"
47880,"NZ_CP069052.1","SRR12893565"
48956,"NZ_CP069053.1","SRR12893565"
101197,"NZ_CP069054.1","SRR12893565"
46566,"NZ_CP069055.1","SRR12893565"
49250,"NZ_CP069060.1","SRR12893565"
51844,"NZ_CP072012.1","SRR12893565"
46966,"NZ_CP072666.1","SRR12893565"
46966,"NZ_CP072667.1","SRR12893565"
46966,"NZ_CP072668.1","SRR12893565"
46966,"NZ_CP072669.1","SRR12893565"
46966,"NZ_CP072670.1","SRR12893565"
46966,"NZ_CP072671.1","SRR12893565"
46966,"NZ_CP072672.1","SRR12893565"
46320,"NZ_CP076228.1","SRR12893565"
2791060,"NZ_CP080546.1","SRR12893565"
86364,"NZ_CP084693.1","SRR12893565"
100078,"NZ_CP084694.1","SRR12893565"
118509,"NZ_CP087954.1","SRR12893565"
46968,"NZ_CP090948.1","SRR12893565"
56697,"NZ_CP091195.1","SRR12893565"
9976,"NZ_CP092368.1","SRR12893565"
121073,"NZ_CP092526.1","SRR12893565"
101225,"NZ_CP096925.1","SRR12893565"
101222,"NZ_CP096926.1","SRR12893565"
52896,"NZ_CP101657.1","SRR12893565"
43004,"NZ_CP110359.1","SRR12893565"
8471,"NZ_HG810405.1","SRR12893565"
276361,"NZ_OW370537.1","SRR12893565"
92215,"NZ_OW370567.1","SRR12893565"
109595,"NC_010981.1","SRR12893566"
8512,"NC_018267.1","SRR12893566"
41607,"NZ_AP013028.1","SRR12893566"
40962,"NZ_CP015510.2","SRR12893566"
115065,"NZ_CP021120.1","SRR12893566"
2475326,"NZ_CP031221.1","SRR12893566"
22324,"NZ_CP034333.1","SRR12893566"
97992,"NZ_CP034334.1","SRR12893566"
97995,"NZ_CP034335.1","SRR12893566"
51196,"NZ_CP037426.1","SRR12893566"
57278,"NZ_CP041215.1","SRR12893566"
2466473,"NZ_CP041923.1","SRR12893566"
2477286,"NZ_CP041924.1","SRR12893566"
47100,"NZ_CP042444.1","SRR12893566"
47095,"NZ_CP042445.1","SRR12893566"
47100,"NZ_CP042446.1","SRR12893566"
59866,"NZ_CP042904.1","SRR12893566"
30665,"NZ_CP046577.1","SRR12893566"
